,Method,Uncovered_part,F1Score
0,degree,0.1,0.40628764516485283
1,degree,0.2,0.44328017167001715
2,degree,0.30000000000000004,0.3371225517777242
3,degree,0.4,0.3768577284440239
4,degree,0.5,0.39337525275053487
5,degree,0.6,0.42665423320967555
6,degree,0.7000000000000001,0.43311042941683464
7,degree,0.8,0.4625945532145789
8,degree,0.9,0.39985855249615154
9,degree_centrality,0.1,0.429396883370811
10,degree_centrality,0.2,0.3999398631115244
11,degree_centrality,0.30000000000000004,0.37683062490556624
12,degree_centrality,0.4,0.4395937291624512
13,degree_centrality,0.5,0.4497092643387185
14,degree_centrality,0.6,0.39345656336590784
15,degree_centrality,0.7000000000000001,0.40359920208063266
16,degree_centrality,0.8,0.4728185025446766
17,degree_centrality,0.9,0.4229948942405673
18,betweenness_centrality,0.1,0.3768577284440239
19,betweenness_centrality,0.2,0.42665423320967555
20,betweenness_centrality,0.30000000000000004,0.4460499253696102
21,betweenness_centrality,0.4,0.4497363678771761
22,betweenness_centrality,0.5,0.4395937291624512
23,betweenness_centrality,0.6,0.4101096053647069
24,betweenness_centrality,0.7000000000000001,0.44322596459310193
25,betweenness_centrality,0.8,0.3805441709515898
26,betweenness_centrality,0.9,0.393510770442823
27,closeness_centrality,0.1,0.42302199777902494
28,closeness_centrality,0.2,0.41651159449495073
29,closeness_centrality,0.30000000000000004,0.3870003671587488
30,closeness_centrality,0.4,0.42662712967121796
31,closeness_centrality,0.5,0.3704015322368649
32,closeness_centrality,0.6,0.37032022162149203
33,closeness_centrality,0.7000000000000001,0.376776417828651
34,closeness_centrality,0.8,0.4561654605458775
35,closeness_centrality,0.9,0.42019803700251657
36,pagerank,0.1,0.4164302838795778
37,pagerank,0.2,0.3832868211127253
38,pagerank,0.30000000000000004,0.4100011912108764
39,pagerank,0.4,0.4035720985421751
40,pagerank,0.5,0.38697326362029116
41,pagerank,0.6,0.4165386980334083
42,pagerank,0.7000000000000001,0.40362630561909035
43,pagerank,0.8,0.42291358362519443
44,pagerank,0.9,0.4330562223399193
